Item_Type,Item_MRP,Outlet_Identifier,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
Dairy,249.8092,OUT049,Tier 1,Supermarket Type1,3735.138
Soft Drinks,48.2692,OUT018,Tier 3,Supermarket Type2,443.4228
Meat,141.618,OUT049,Tier 1,Supermarket Type1,2097.27
Fruits and Vegetables,182.095,OUT010,Tier 3,Grocery Store,732.38
Household,53.8614,OUT013,Tier 3,Supermarket Type1,994.7052
Baking Goods,51.4008,OUT018,Tier 3,Supermarket Type2,556.6088
Snack Foods,57.6588,OUT013,Tier 3,Supermarket Type1,343.5528
Snack Foods,107.7622,OUT027,Tier 3,Supermarket Type3,4022.7636
Frozen Foods,96.9726,OUT045,Tier 2,Supermarket Type1,1076.5986
Frozen Foods,187.8214,OUT017,Tier 2,Supermarket Type1,4710.535
Fruits and Vegetables,45.5402,OUT049,Tier 1,Supermarket Type1,1516.0266
Dairy,144.1102,OUT046,Tier 1,Supermarket Type1,2187.153
Fruits and Vegetables,145.4786,OUT049,Tier 1,Supermarket Type1,1589.2646
Snack Foods,119.6782,OUT046,Tier 1,Supermarket Type1,2145.2076
Fruits and Vegetables,196.4426,OUT013,Tier 3,Supermarket Type1,1977.426
Breakfast,56.3614,OUT046,Tier 1,Supermarket Type1,1547.3192
Health and Hygiene,115.3492,OUT018,Tier 3,Supermarket Type2,1621.8888
Breakfast,54.3614,OUT049,Tier 1,Supermarket Type1,718.3982
Hard Drinks,113.2834,OUT027,Tier 3,Supermarket Type3,2303.668
Dairy,230.5352,OUT035,Tier 2,Supermarket Type1,2748.4224
Snack Foods,250.8724,OUT013,Tier 3,Supermarket Type1,3775.086
Baking Goods,144.5444,OUT027,Tier 3,Supermarket Type3,4064.0432
Household,196.5084,OUT035,Tier 2,Supermarket Type1,1587.2672
Baking Goods,107.6938,OUT019,Tier 1,Grocery Store,214.3876
Frozen Foods,165.021,OUT046,Tier 1,Supermarket Type1,4078.025
Household,45.906,OUT017,Tier 2,Supermarket Type1,838.908
Snack Foods,42.3112,OUT035,Tier 2,Supermarket Type1,1065.28
Hard Drinks,39.1164,OUT013,Tier 3,Supermarket Type1,308.9312
Dairy,45.5086,OUT010,Tier 3,Grocery Store,178.4344
Canned,43.6454,OUT019,Tier 1,Grocery Store,125.8362
Dairy,55.7956,OUT010,Tier 3,Grocery Store,163.7868
